RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8230L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed360L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed1b0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecbc0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826420L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826420L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e255d0d100L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598263f0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e259826480L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x100) = 0x1e255d0cdd0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e259826360L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826360L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x1c) = 0x1e259826240L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x18) = 0x1e255d0df50L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826270L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598264b0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x48) = 0x1e259826db0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826db0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826240L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e255d0df50L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed6f0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed6f0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x30) = 0x1e255ae8d30L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed690L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed6f0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed570L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecfe0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed690L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed6f0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed570L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecfe0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8d30L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed660L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x30) = 0x1e255ae8730L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed8a0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed2d0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed300L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec3e0L
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed690L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed690L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed8a0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed2d0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed300L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec3e0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8730L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x1c) = 0x1e2598262a0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x18) = 0x1e255d0de70L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826510L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826360L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x48) = 0x1e259826db0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826db0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598262a0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e255d0de70L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad3f40L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad4140L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x18) = 0x1e255ad4060L
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x18) = 0x1e255ad3f40L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598264e0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598264e0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x38) = 0x1e255ae8ab0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed420L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed8a0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed330L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecf20L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecf80L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed360L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed210L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed420L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed330L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecf20L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8ab0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed360L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed8a0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed210L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecf80L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598262a0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598262a0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826240L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826240L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad3f40L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad4060L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x18) = 0x1e255ad3f40L
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x18) = 0x1e255ad4060L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598262a0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598262a0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x38) = 0x1e255ae8d30L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed660L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed690L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed3c0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecda0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec8c0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed570L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed7e0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed3c0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecda0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8d30L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed570L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed690L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed7e0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec8c0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598264e0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598264e0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x1c) = 0x1e2598262a0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x18) = 0x1e255d0dff0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598264e0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598263c0L
